mid,times,player_0,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9
22,420,2,4,23,26,39,21,21,18,1,7
22,480,2,4,23,30,48,23,23,19,1,9
22,540,2,4,26,40,53,29,23,25,1,9
22,600,3,4,26,47,61,34,25,30,1,9
23,60,3,2,3,3,1,1,4,1,1,1
23,120,6,2,4,10,2,5,4,3,2,2
23,180,10,2,7,10,3,7,4,3,3,2
23,240,12,3,7,12,5,9,5,5,8,2
23,300,14,3,8,17,7,12,6,6,8,2
23,360,14,3,9,20,8,16,9,7,10,5
23,420,14,4,10,25,10,19,12,8,16,6
23,480,16,4,12,25,13,24,13,8,18,6
23,540,17,5,14,25,13,29,17,8,19,9
23,600,18,5,17,29,13,30,20,9,19,9
24,60,3,1,1,5,5,1,1,1,1,3
24,120,4,1,1,13,7,2,7,1,3,9
24,180,5,1,1,20,9,2,12,2,4,15
24,240,6,2,1,28,13,2,17,3,7,20
24,300,10,2,1,35,14,2,21,3,9,21
24,360,10,3,1,48,20,2,30,3,12,29
24,420,12,3,1,52,27,2,30,3,12,38
24,480,14,3,1,62,35,2,34,3,13,46
24,540,16,3,1,74,39,2,36,3,14,56
24,600,19,4,1,85,41,2,43,3,20,60
25,60,2,3,1,1,1,3,4,1,1,1
25,120,5,10,2,1,1,5,4,3,3,1
25,180,5,18,4,2,2,6,12,4,3,1
25,240,8,28,7,3,2,8,16,4,6,1
25,300,13,30,8,6,5,12,24,4,8,1
25,360,17,36,15,8,5,17,32,4,8,1
25,420,19,45,15,10,6,17,38,4,9,5
25,480,21,50,24,10,8,24,46,4,12,8
25,540,29,51,24,10,8,24,50,4,12,13
25,600,30,57,29,15,9,25,50,4,14,13
26,60,1,1,3,4,4,2,2,1,1,2
26,120,1,2,9,9,10,5,2,5,2,7
26,180,1,5,17,12,16,5,2,6,2,15
26,240,5,10,20,16,25,7,3,7,2,24
26,300,7,14,20,21,31,9,4,10,2,29
26,360,7,16,26,27,39,9,6,13,3,34
26,420,7,19,26,36,47,9,7,18,3,36
26,480,8,21,36,41,48,10,7,21,3,43
26,540,8,31,36,48,52,13,9,24,3,49
26,600,8,37,37,52,52,15,9,25,5,58
27,60,3,3,1,1,3,4,1,3,5,1
27,120,8,5,1,3,3,8,1,9,13,1
27,180,14,8,1,3,8,15,1,10,19,1
27,240,18,13,2,4,15,18,1,14,26,1
27,300,21,18,2,6,19,26,1,17,32,1
27,360,24,19,2,6,21,31,1,24,38,2
27,420,28,26,2,9,27,41,1,26,45,3
27,480,38,29,2,12,35,49,1,28,51,4
27,540,39,35,2,17,40,52,1,31,56,4
27,600,41,36,2,18,47,62,1,31,62,4
28,60,5,1,1,1,2,1,1,2,1,3
28,120,10,1,1,1,8,1,3,7,1,7
28,180,19,1,2,4,15,2,5,13,1,10
28,240,24,3,2,5,23,3,9,15,1,15
28,300,28,4,2,8,29,3,15,18,1,15
28,360,32,7,5,10,34,3,18,19,2,19
28,420,36,7,6,12,39,3,27,21,4,23
28,480,45,7,7,14,41,5,31,21,7,24
28,540,48,7,7,19,51,6,38,23,7,31
28,600,53,8,7,19,58,8,45,23,7,36
29,60,1,1,5,1,3,5,1,4,1,2
29,120,5,1,8,1,9,13,1,8,1,5
29,180,8,2,10,1,17,18,2,10,2,13
29,240,13,2,14,3,21,23,2,17,2,16
29,300,18,3,18,5,29,30,2,19,3,20
29,360,21,3,24,7,32,36,2,21,4,21
29,420,24,4,29,7,38,40,2,21,4,29
29,480,24,5,32,9,42,45,2,23,9,39
29,540,30,6,36,10,48,51,2,23,15,46
29,600,34,7,39,10,56,53,3,25,16,60
30,60,2,1,1,3,3,1,3,1,2,2
30,120,6,1,2,12,7,1,9,1,4,7
30,180,7,1,3,18,12,1,13,1,5,13
30,240,8,2,3,20,19,1,18,1,12,20
30,300,10,2,3,24,20,1,20,1,14,23
30,360,14,2,3,32,25,1,26,6,16,27
30,420,18,2,4,40,29,2,26,10,17,35
30,480,23,3,4,45,32,2,29,13,19,41
30,540,25,3,5,49,34,6,31,13,19,45
30,600,28,4,5,52,34,10,35,13,19,51
31,60,4,2,1,3,2,2,1,2,2,2
31,120,5,3,1,5,2,3,1,2,2,10
31,180,10,3,1,5,4,3,1,2,3,19
31,240,12,3,2,5,6,3,1,6,5,24
31,300,13,4,3,8,6,3,1,7,8,26
31,360,18,4,3,10,6,3,1,12,8,31
31,420,21,7,3,13,8,3,1,17,9,31
31,480,23,12,3,14,8,3,1,20,12,35
31,540,25,14,3,17,10,3,1,25,15,43
31,600,27,16,3,19,13,4,1,28,15,45
32,60,1,5,1,2,1,4,1,2,1,1
32,120,1,12,5,7,1,7,3,7,2,1
32,180,1,17,6,10,1,7,7,10,2,1
32,240,1,24,8,10,1,8,9,14,2,2
32,300,1,30,10,13,1,10,15,16,2,2
32,360,1,37,10,21,5,13,17,18,2,4
32,420,1,45,14,27,5,16,19,19,2,4
32,480,1,52,16,30,5,20,21,23,2,5
32,540,1,57,17,32,5,28,25,27,3,5
32,600,1,60,20,38,5,28,26,27,5,8
33,60,3,1,1,1,5,1,1,1,1,1
33,120,9,1,6,2,9,3,2,1,4,4
33,180,14,1,10,3,13,8,3,1,7,6
33,240,19,3,18,3,18,15,5,1,9,8
33,300,23,6,19,3,26,21,5,3,13,13
33,360,30,8,19,3,31,24,5,4,15,15
33,420,39,8,27,3,34,27,6,4,18,17
33,480,41,8,34,6,39,31,8,5,19,21
33,540,48,9,35,6,43,38,8,6,24,23
33,600,53,13,40,7,49,50,8,6,24,27
34,60,4,1,3,1,1,1,1,3,4,2
34,120,7,4,10,1,1,1,1,8,7,4
34,180,9,9,20,1,1,1,4,10,8,6
34,240,13,18,26,1,1,1,9,10,10,9
34,300,18,25,29,1,1,5,15,13,15,10
34,360,21,30,36,4,2,8,21,18,15,14
34,420,21,31,42,6,2,9,30,21,15,15
34,480,25,40,48,6,2,10,35,24,17,16
34,540,27,47,58,6,2,10,36,24,23,23
34,600,31,51,62,9,2,15,41,25,29,27
35,60,2,2,1,1,3,4,4,2,1,3
35,120,3,7,3,1,6,10,7,4,1,10
35,180,3,13,3,2,10,24,12,4,1,18
35,240,4,17,3,2,14,27,15,8,1,25
35,300,5,23,5,2,19,36,17,12,1,31
35,360,7,30,6,2,26,38,21,15,1,41
35,420,8,31,9,4,26,45,27,18,1,50
35,480,10,37,10,6,32,50,29,20,1,58
35,540,10,46,12,6,43,56,34,28,1,64
35,600,13,57,12,6,54,63,38,36,1,74
36,60,1,4,1,1,2,1,4,3,2,1
36,120,1,7,3,2,8,2,12,9,5,1
36,180,1,12,7,4,12,2,18,13,9,1
36,240,1,14,7,5,18,3,24,21,12,1
36,300,1,19,7,13,26,5,29,26,16,1
36,360,1,21,7,14,29,7,36,31,16,3
36,420,1,23,8,15,31,7,45,36,21,5
36,480,1,27,8,20,40,8,53,39,23,8
36,540,1,30,8,21,45,9,62,42,27,10
36,600,5,35,9,24,53,13,71,43,28,16
37,60,2,1,1,2,2,2,1,3,1,1
37,120,3,4,3,2,2,2,2,4,2,4
37,180,4,5,4,5,3,3,2,5,2,6
37,240,4,5,6,6,4,3,2,5,4,6
37,300,5,8,7,12,5,4,5,6,4,6
37,360,6,13,7,12,7,4,5,9,5,10
37,420,7,17,8,12,10,4,5,12,6,16
37,480,14,19,8,12,12,4,5,13,6,17
37,540,15,19,8,14,19,4,5,13,7,18
37,600,15,24,9,18,20,4,7,13,7,23
38,60,4,1,2,1,2,1,2,3,1,3
38,120,9,1,7,1,7,2,5,9,1,5
38,180,12,2,8,1,10,2,5,16,2,12
38,240,14,2,10,2,10,2,9,19,3,16
38,300,17,3,14,2,15,2,9,20,6,20
38,360,24,4,14,2,23,2,12,24,6,27
38,420,32,4,14,3,26,2,12,26,7,29
38,480,40,4,14,3,32,2,15,28,9,35
38,540,42,6,14,3,37,2,18,32,9,43
38,600,42,8,19,3,46,2,21,35,9,51
39,60,1,1,4,5,1,1,2,1,5,5
39,120,1,2,6,9,3,1,4,1,8,6
39,180,1,3,14,15,5,1,4,1,12,10
39,240,1,3,16,23,5,1,5,1,16,16
39,300,1,4,23,30,5,1,5,1,21,19
39,360,4,6,27,32,5,1,6,1,27,21
39,420,5,6,31,40,5,1,7,1,31,27
39,480,7,7,36,47,6,1,12,2,39,27
39,540,12,9,38,50,6,1,16,2,41,29
39,600,13,9,43,58,7,1,19,3,46,39
40,60,5,3,1,1,1,3,4,1,3,1
40,120,9,7,3,4,1,8,8,2,9,1
40,180,12,12,3,8,1,14,10,6,15,2
40,240,19,17,3,9,1,19,14,6,17,3
40,300,26,24,3,12,1,23,17,8,23,5
40,360,31,32,5,13,2,30,20,9,29,5
40,420,36,39,5,14,2,37,23,9,32,5
40,480,42,43,5,18,2,47,25,9,34,7
40,540,51,48,5,18,4,56,30,15,38,13
40,600,54,51,5,23,6,64,32,20,42,15
41,60,1,1,3,2,5,4,4,2,1,4
41,120,5,1,5,4,7,10,6,4,1,6
41,180,7,1,8,9,14,15,7,5,1,10
41,240,10,3,9,19,23,20,7,12,1,10
41,300,13,3,9,25,27,24,13,12,3,14
41,360,18,3,13,30,30,31,17,12,5,16
41,420,21,3,13,36,37,37,19,15,6,16
41,480,24,3,16,43,49,46,19,16,7,21
41,540,26,3,19,48,56,51,19,16,10,24
41,600,29,5,21,58,64,59,23,18,10,24
42,60,3,1,1,1,3,1,2,2,1,2
42,120,9,1,1,1,7,1,7,9,2,4
42,180,15,1,1,1,12,1,8,14,2,5
42,240,19,1,2,2,15,2,13,19,2,7
42,300,27,1,2,2,17,2,14,27,2,10
42,360,34,3,2,3,21,2,20,29,2,15
42,420,35,3,2,3,32,2,21,38,3,18
42,480,42,6,2,3,43,2,24,42,3,18
42,540,47,8,3,4,54,2,27,45,5,20
42,600,49,8,5,4,56,2,29,45,5,27
43,60,1,1,4,3,1,1,3,2,1,2
43,120,2,1,6,5,6,1,8,6,1,3
43,180,3,1,8,7,8,2,10,9,1,4
43,240,4,1,12,9,14,2,20,13,1,6
43,300,4,3,13,18,17,2,24,16,1,7
43,360,4,3,17,18,18,4,31,18,1,9
43,420,4,3,19,24,25,4,36,23,1,12
43,480,5,4,21,26,29,5,38,25,1,13
43,540,5,6,21,30,35,6,45,28,1,17
43,600,9,6,21,36,43,8,45,32,1,20
44,60,2,1,2,1,2,1,2,1,4,2
44,120,2,1,6,1,8,1,2,1,10,4
44,180,2,1,13,1,10,1,5,1,16,5
44,240,2,5,17,1,16,2,6,3,19,6
44,300,2,5,19,2,19,4,14,5,21,13
44,360,3,7,28,2,26,4,19,5,27,16
44,420,3,9,31,2,34,6,19,6,31,20
44,480,3,12,36,5,35,7,23,6,36,30
44,540,3,16,38,7,37,9,25,6,43,37
44,600,3,17,41,9,41,13,28,6,43,45
45,60,2,6,1,1,4,2,2,2,1,2
45,120,4,15,2,1,8,2,3,4,2,3
45,180,6,21,2,2,15,3,3,6,5,7
45,240,10,31,2,3,20,5,3,6,5,10
45,300,13,36,2,5,24,6,3,8,8,14
45,360,16,45,2,5,28,8,7,9,12,15
45,420,20,53,3,5,30,12,7,9,15,17
45,480,20,61,4,7,32,13,13,10,23,19
45,540,25,61,9,7,38,16,13,10,32,20
45,600,26,65,13,12,42,16,13,12,37,20
46,60,1,1,1,1,5,1,1,4,2,3
46,120,9,1,1,3,8,1,1,7,5,12
46,180,15,1,1,3,9,1,1,8,8,18
46,240,20,1,7,4,16,1,1,14,15,20
46,300,28,1,7,4,24,1,2,15,17,26
46,360,32,1,7,4,27,2,4,19,18,35
46,420,32,1,8,4,32,2,5,19,20,38
46,480,40,1,8,4,38,2,5,26,21,49
46,540,49,1,9,4,45,3,5,28,21,56
46,600,49,1,10,9,53,3,8,34,23,62
47,60,1,5,3,3,1,1,1,3,1,1
47,120,5,8,4,4,1,6,1,5,1,1
47,180,8,10,4,6,1,9,1,13,3,1
47,240,15,10,4,9,1,14,1,17,4,2
47,300,20,10,4,17,1,16,1,20,5,2
47,360,21,12,7,21,1,23,1,24,10,2
47,420,29,16,9,27,2,24,1,31,10,4
47,480,29,16,13,29,4,26,4,36,13,8
47,540,40,16,13,37,4,34,5,39,15,8
47,600,47,16,17,39,4,42,6,40,20,8
48,60,2,1,1,3,1,2,1,1,3,5
48,120,7,8,1,7,2,3,3,3,8,10
48,180,10,15,1,15,2,3,4,6,14,17
48,240,18,18,1,21,2,3,9,7,18,24
48,300,21,21,1,28,2,4,12,15,23,26
48,360,25,26,1,34,2,4,12,20,29,29
48,420,31,28,1,40,2,4,23,25,31,35
48,480,48,36,1,48,3,4,27,32,39,41
48,540,56,40,2,53,3,4,31,35,41,47
48,600,63,43,2,62,4,5,37,36,49,50
49,60,3,3,1,4,1,2,1,3,3,3
49,120,7,8,1,8,1,6,1,7,6,6
49,180,13,16,1,16,1,10,1,8,9,12
49,240,19,23,1,20,2,15,1,15,20,15
49,300,19,25,4,25,3,25,1,16,30,24
49,360,31,26,4,31,3,30,1,20,37,25
49,420,37,31,5,31,3,38,1,24,43,27
49,480,47,34,5,37,3,46,1,28,46,34
49,540,59,40,5,42,3,52,1,30,50,39
49,600,64,48,7,49,5,61,1,36,52,49
50,60,4,1,1,1,3,1,4,1,1,1
50,120,8,1,1,3,5,1,6,3,1,8
50,180,17,1,1,4,6,1,12,4,1,16
50,240,24,1,1,7,9,1,14,4,3,23
50,300,31,1,2,7,12,1,18,4,4,30
50,360,40,2,3,9,13,1,25,4,5,36
50,420,43,3,3,13,18,1,26,6,6,42
50,480,51,3,3,18,18,1,30,9,6,51
50,540,61,3,3,18,18,4,32,9,6,54
50,600,65,3,3,24,20,6,35,13,8,62
51,60,1,1,1,2,1,1,3,3,2,1
51,120,5,4,2,4,1,1,6,7,4,1
51,180,12,6,2,5,1,1,7,14,8,2
51,240,13,8,2,6,1,1,8,20,9,3
51,300,13,12,5,13,1,1,15,25,14,3
51,360,13,15,8,14,1,2,16,30,19,3
51,420,13,15,8,16,1,4,19,34,25,5
51,480,18,17,9,17,1,4,24,42,26,7
51,540,18,17,9,17,2,6,26,52,29,8
51,600,18,17,10,17,2,6,26,57,29,14
52,60,2,3,2,1,2,1,1,5,1,1
52,120,6,6,6,1,5,1,2,6,1,3
52,180,12,12,8,2,8,2,3,6,1,4
52,240,17,15,12,2,9,5,5,7,1,7
52,300,23,18,12,4,10,5,5,10,1,9
52,360,29,24,15,5,10,9,5,12,1,14
52,420,30,30,20,5,12,14,7,12,1,15
52,480,39,41,26,7,14,15,12,13,1,15
52,540,41,49,35,7,15,16,12,13,1,17
52,600,46,54,41,7,17,18,16,15,2,18
53,60,3,1,3,3,1,3,1,1,3,1
53,120,8,4,9,3,1,5,2,1,7,1
53,180,14,8,13,4,3,10,4,1,9,1
53,240,18,9,17,8,5,12,5,1,16,1
53,300,25,12,26,10,6,16,7,1,19,1
53,360,35,12,36,12,6,20,7,1,24,1
53,420,39,17,43,13,6,26,7,1,29,1
53,480,42,18,48,19,7,34,7,1,32,1
53,540,59,20,54,27,8,35,7,2,37,1
53,600,68,21,63,30,8,39,8,6,43,1
54,60,1,3,3,1,1,1,3,1,1,3
54,120,3,10,12,6,1,1,6,1,3,3
54,180,3,14,17,7,1,5,9,1,8,8
54,240,3,16,24,7,1,6,14,1,13,12
54,300,4,20,29,9,1,6,18,1,20,15
54,360,5,23,30,9,1,7,26,1,25,19
54,420,5,24,37,10,1,9,27,1,30,25
54,480,5,24,43,14,1,13,31,1,36,29
54,540,7,28,49,14,1,13,36,1,43,34
54,600,7,31,51,14,2,13,43,1,48,37
55,60,1,4,1,3,4,1,4,1,4,2
55,120,5,10,1,12,9,1,8,4,10,4
55,180,9,17,2,18,9,1,9,4,15,5
55,240,10,21,3,25,18,1,12,6,21,6
55,300,10,27,5,32,18,3,16,12,26,6
55,360,10,35,7,40,36,3,21,12,35,9
55,420,12,42,7,47,38,3,29,12,47,13
55,480,16,48,14,49,41,7,32,13,57,14
55,540,18,56,20,73,46,7,37,13,70,15
55,600,24,63,24,80,57,9,42,15,85,15
56,60,2,3,2,1,3,1,4,1,3,2
56,120,8,5,2,5,6,2,6,1,6,2
56,180,12,8,2,7,14,3,8,2,7,2
56,240,12,13,2,10,19,4,10,4,9,3
56,300,18,19,6,10,21,4,14,4,9,3
56,360,21,23,6,14,28,6,17,4,14,3
56,420,28,26,7,19,34,9,20,4,14,3
56,480,28,28,10,20,41,15,20,7,18,3
56,540,30,28,10,23,48,15,21,7,19,5
56,600,32,36,15,23,49,21,25,7,24,5
57,60,1,1,2,4,2,3,2,2,1,1
57,120,1,1,6,6,7,6,4,8,1,3
57,180,1,1,8,8,9,9,9,15,2,5
57,240,1,1,15,9,18,16,12,18,2,5
57,300,2,3,15,9,26,20,13,24,2,5
57,360,2,3,16,16,28,24,15,27,2,8
57,420,2,7,16,21,31,28,18,27,2,8
57,480,2,8,20,25,40,32,21,27,2,14
57,540,2,10,21,28,41,32,21,27,2,18
